probeId	geneId
ILMN_1214036	ENSMUSG00000050244
ILMN_1214039	ENSMUSG00000047996
ILMN_1214043	ENSMUSG00000019785
ILMN_1214044	ENSMUSG00000070383
ILMN_1214046	ENSMUSG00000032452
ILMN_1214050	ENSMUSG00000066042
ILMN_1214052	ENSMUSG00000041789
ILMN_1214053	ENSMUSG00000027551
ILMN_1214054	ENSMUSG00000031823
ILMN_1214057	ENSMUSG00000017428
ILMN_1214059	ENSMUSG00000040265
ILMN_1214060	ENSMUSG00000043843
ILMN_1214065	ENSMUSG00000079262
ILMN_1214066	ENSMUSG00000024036
ILMN_1214070	ENSMUSG00000027466
ILMN_1214071	ENSMUSG00000025491
ILMN_1214075	ENSMUSG00000066042
ILMN_1214082	ENSMUSG00000034973
ILMN_1214090	ENSMUSG00000075701
ILMN_1214092	ENSMUSG00000047454
ILMN_1214094	ENSMUSG00000046168
ILMN_1214101	ENSMUSG00000034751
ILMN_1214107	ENSMUSG00000012609
ILMN_1214108	ENSMUSG00000040521
ILMN_1214110	ENSMUSG00000024019
ILMN_1214110	ENSMUSG00000090083
ILMN_1214113	ENSMUSG00000036521
ILMN_1214118	ENSMUSG00000031557
ILMN_1214119	ENSMUSG00000028396
ILMN_1214120	ENSMUSG00000032599
ILMN_1214122	ENSMUSG00000031766
ILMN_1214123	ENSMUSG00000022805
ILMN_1214126	ENSMUSG00000067071
ILMN_1214132	ENSMUSG00000041995
ILMN_1214133	ENSMUSG00000031171
ILMN_1214141	ENSMUSG00000027080
ILMN_1214142	ENSMUSG00000032360
ILMN_1214143	ENSMUSG00000067367
ILMN_1214144	ENSMUSG00000031270
ILMN_1214146	ENSMUSG00000053477
ILMN_1214150	ENSMUSG00000043004
ILMN_1214157	ENSMUSG00000000167
ILMN_1214158	ENSMUSG00000008373
ILMN_1214163	ENSMUSG00000042444
ILMN_1214165	ENSMUSG00000034690
ILMN_1214166	ENSMUSG00000026790
ILMN_1214167	ENSMUSG00000042705
ILMN_1214173	ENSMUSG00000032064
ILMN_1214178	ENSMUSG00000052713
ILMN_1214179	ENSMUSG00000020525
ILMN_1214180	ENSMUSG00000031486
ILMN_1214183	ENSMUSG00000043939
ILMN_1214184	ENSMUSG00000087225
ILMN_1214186	ENSMUSG00000028019
ILMN_1214187	ENSMUSG00000022635
ILMN_1214188	ENSMUSG00000061576
ILMN_1214189	ENSMUSG00000044017
ILMN_1214190	ENSMUSG00000029822
ILMN_1214195	ENSMUSG00000064016
ILMN_1214195	ENSMUSG00000073173
ILMN_1214213	ENSMUSG00000027428
ILMN_1214219	ENSMUSG00000045672
ILMN_1214222	ENSMUSG00000040524
ILMN_1214224	ENSMUSG00000055835
ILMN_1214228	ENSMUSG00000048482
ILMN_1214239	ENSMUSG00000053347
ILMN_1214241	ENSMUSG00000026721
ILMN_1214251	ENSMUSG00000079445
ILMN_1214255	ENSMUSG00000022661
ILMN_1214275	ENSMUSG00000052632
ILMN_1214277	ENSMUSG00000034681
ILMN_1214286	ENSMUSG00000040396
ILMN_1214287	ENSMUSG00000052949
ILMN_1214288	ENSMUSG00000022861
ILMN_1214294	ENSMUSG00000071669
ILMN_1214296	ENSMUSG00000046387
ILMN_1214297	ENSMUSG00000080820
ILMN_1214305	ENSMUSG00000056293
ILMN_1214307	ENSMUSG00000041696
ILMN_1214318	ENSMUSG00000027347
